basisOfRecord,scientificName,taxonRank,countryCode,occurrenceID,catalogNumber,genus,specificEpithet,country,year,eventDate,locality,recordedBy,infraspecificEpithet,decimalLatitude,decimalLongitude,geodeticDatum,setID,verbatimEventDate,typeStatus,stateProvince,identifiedBy,dateIdentified,continent,identifier,month,day,county,modified,recordNumber,habitat,eventRemarks,coordinateUncertaintyInMeters,identificationRemarks,verbatimElevation,otherCatalogNumbers,collectionID,rightsHolder,verbatimLocality,datasetID,verbatimCoordinates,scientificNameAuthorship,kingdom,phylum,order,family,class,collectionCode,nomenclaturalCode,higherClassification,verbatimTaxonRank,institutionCode,occurrenceRemarks,higherGeography,municipality,georeferenceProtocol,fieldNumber,locationRemarks,islandGroup,island,taxonRemarks,identificationQualifier,startDayOfYear,sex,preparations,type,datasetName,informationWithheld,elevation,elevationAccuracy,fieldNotes,institutionID,taxonomicStatus,acceptedNameUsage,references,eventID,taxonID,locationID,identificationID,vernacularName,verbatimCoordinateSystem,ownerInstitutionCode,samplingProtocol,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,eventTime,endDayOfYear,occurrenceDetails,coordinatePrecision,waterBody,identificationVerificationStatus,identificationReferences,canonicalName,organismRemarks,establishmentMeans,relationshipRemarks,measurementRemarks,verbatimRecordedBy,verbatimLongitude,verbatimLatitude,georeferenceRemarks,language,languageRemarks,persistentID,jpegURL,tiffURL,jsonURL,pngSegAllURL,pngSegSelURL,DOI,jpegURL2,tiffURL2
PRESERVED_SPECIMEN,Acanthospermum australe Kuntze,SPECIES,BR,http://specimens.kew.org/herbarium/K001031711,K001031711,Acanthospermum,australe,Brazil,1962,1962-07-23,"Road to Amapa, km 134, Agua Azul.","Pires, J.M.",,,,,K,,,,,,,K001031711,7,23,,2015-05-28,52249,,,,,,,,,,,,,Plantae,Tracheophyta,Asterales,Asteraceae,Magnoliopsida,Herbarium,,COMPOSITAE,,K,,,,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://specimens.kew.org/herbarium/K001031711,https://zenodo.org/record/1486584/files/K001031711.jpg,https://zenodo.org/record/1486584/files/K001031711.tif,https://zenodo.org/record/1486584/files/K001031711.json,https://zenodo.org/record/1486584/files/K001031711_all.png,https://zenodo.org/record/1486584/files/K001031711_sel.png,http://dx.doi.org/10.5281/zenodo.1486584,,
PRESERVED_SPECIMEN,Acanthus kulalensis Vollesen,SPECIES,KE,http://www.botanicalcollections.be/specimen/BR0000009519527,BR0000009519527,Acanthus,kulalensis,Kenya,2004,2004-12-26,,Luke W.R.Q. & Luke P.A.,,,,,BR,,ISOTYPE,,,,,http://www.botanicalcollections.be/specimen/BR0000009519527,12,26,,2009-06-10,10818,,,,,,,,Meise Botanic Garden,,,,,Plantae,Tracheophyta,Lamiales,Acanthaceae,Magnoliopsida,,ICBN,,,BR,,,,,,,,,,,,,HerbariumSheet,PhysicalObject,,locality,,,,http://biocol.org/urn:lsid:biocol.org:col:15605,accepted name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://www.botanicalcollections.be/specimen/BR0000009519527,https://zenodo.org/record/1481035/files/BR0000009519527.jpg,https://zenodo.org/record/1481035/files/BR0000009519527.tif,https://zenodo.org/record/1481035/files/BR0000009519527.json,,,http://dx.doi.org/10.5281/zenodo.1481035,,
PRESERVED_SPECIMEN,Acer buergerianum Miq.,SPECIES,JP,http://data.biodiversitydata.nl/naturalis/specimen/L%20%200329805,L  0329805,Acer,buergerianum,Japan,,,Japonia.,Siebold PF von,,,,,L,,LECTOTYPE,,Murray E,1965-08-01T00:00:00.000+0000,ASIA,L  0329805,,,,,,,,,,,,,,,,,,Plantae,Tracheophyta,Sapindales,Sapindaceae,Magnoliopsida,Botany,ICN,Plantae|Magnoliopsidae|Sapindales|Aceraceae,cv.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lat,,http://data.biodiversitydata.nl/naturalis/specimen/L%20%200329805,https://zenodo.org/record/1486804/files/L  0329805.jpg,,https://zenodo.org/record/1486804/files/L  0329805.json,,,http://dx.doi.org/10.5281/zenodo.1486804,,
PRESERVED_SPECIMEN,Acer davidii subsp. grosseri (Pax) P.C.de Jong,SUBSPECIES,CN,http://data.rbge.org.uk/herb/E00144488,E00144488,Acer,davidii,China,,,Daba Shan,Sichuan Expedition (1994),grosseri,,,,E,,,Sichuan,,,,http://data.rbge.org.uk/herb/E00144488,,,,2001-12-04,1788,,,,,1270 M,BGBASE:146539,http://biocol.org/urn:lsid:biocol.org:col:15670,,,,,,Plantae,Tracheophyta,Sapindales,Sapindaceae,Magnoliopsida,E,ICBN,,,E,,"Inner China, Korea and Taiwan",,,,,,,,,,,herbarium specimen of unspecified type,PhysicalObject,Royal Botanic Garden Edinburgh Herbarium,,1270,0,,,,,,,,,,,degrees minutes seconds,E,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.rbge.org.uk/herb/E00144488,https://zenodo.org/record/1483772/files/E00144488.jpg,https://zenodo.org/record/1483772/files/E00144488.tif,https://zenodo.org/record/1483772/files/E00144488.json,https://zenodo.org/record/1483772/files/E00144488_all.png,https://zenodo.org/record/1483772/files/E00144488_sel.png,http://dx.doi.org/10.5281/zenodo.1483772,,
PRESERVED_SPECIMEN,Acer pseudoplatanus f. corstorphinense Schwer.,FORM,NL,http://data.biodiversitydata.nl/naturalis/specimen/L.2297291,L.2297291,Acer,pseudoplatanus,Netherlands,1954,1954-05-19,"Zundert, Kwekerij Lombarts",Boom BK,corstorphinense,,,,L,1954/05/19,,Noord-Brabant,Boom BK,1954-07-01T00:00:00.000+0000,EUROPE,L.2297291,5,19,,,,,,,,,,,,,,,,Plantae,Tracheophyta,Sapindales,Sapindaceae,Magnoliopsida,Botany,ICN,Plantae|Magnoliopsidae|Sapindales|Aceraceae,f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nld,,http://data.biodiversitydata.nl/naturalis/specimen/L.2297291,https://zenodo.org/record/1486908/files/L.2297291.jpg,,https://zenodo.org/record/1486908/files/L.2297291.json,,,http://dx.doi.org/10.5281/zenodo.1486908,,
PRESERVED_SPECIMEN,Acer pseudoplatanus L.,SPECIES,BE,http://www.botanicalcollections.be/specimen/BR0000026817637V,BR0000026817637V,Acer,pseudoplatanus,Belgium,1979,1979-10-27,Laken (Brussel; Prov. Brabant),Studenten 2e kandidatuur Academiejaar 1979 - 1980,,,,,BR,,,,,,,http://www.botanicalcollections.be/specimen/BR0000026817637V,10,27,,2017-05-17,I / 8,,,,,,,,Meise Botanic Garden,,,,,Plantae,Tracheophyta,Sapindales,Sapindaceae,Magnoliopsida,,ICBN,,,BR,,,,,,,,,,,,,HerbariumSheet,PhysicalObject,,,,,,http://biocol.org/urn:lsid:biocol.org:col:15605,accepted name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nld,,http://www.botanicalcollections.be/specimen/BR0000026817637V,https://zenodo.org/record/1483487/files/BR0000026817637V.jpg,https://zenodo.org/record/1483487/files/BR0000026817637V.tif,https://zenodo.org/record/1483487/files/BR0000026817637V.json,,,http://dx.doi.org/10.5281/zenodo.1483487,,
PRESERVED_SPECIMEN,Aceras anthropophorum (L.) W.T.Aiton,SPECIES,GB,http://data.rbge.org.uk/herb/E00431314,E00431314,Orchis,anthropophorum,United Kingdom,1840,1840-01-01,near Deal,,,,,,E,1840,,England,,,,http://data.rbge.org.uk/herb/E00431314,,,(VC 15) East Kent,2013-11-27,,,,,,,BGBASE:456104,http://biocol.org/urn:lsid:biocol.org:col:15670,,,,,,Plantae,Tracheophyta,Asparagales,Orchidaceae,Liliopsida,E,ICBN,,,E,,Britain and Ireland,,,,,,,,,183,,herbarium specimen of unspecified type,PhysicalObject,Royal Botanic Garden Edinburgh Herbarium,,,,,,,,,,,,,,degrees minutes seconds,E,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.rbge.org.uk/herb/E00431314,https://zenodo.org/record/1484064/files/E00431314.jpg,https://zenodo.org/record/1484064/files/E00431314.tif,https://zenodo.org/record/1484064/files/E00431314.json,,,http://dx.doi.org/10.5281/zenodo.1484064,,
PRESERVED_SPECIMEN,Aceras anthropophorum (L.) W.T.Aiton,SPECIES,GB,http://data.rbge.org.uk/herb/E00431342,E00431342,Orchis,anthropophorum,United Kingdom,1838,1838-07-10,W of Cobham,"Farre, F.",,,,,E,1838-07-10,,England,,,,http://data.rbge.org.uk/herb/E00431342,7,10,(VC 16) West Kent,2013-12-24,,,,,,,BGBASE:456183,http://biocol.org/urn:lsid:biocol.org:col:15670,,,,,,Plantae,Tracheophyta,Asparagales,Orchidaceae,Liliopsida,E,ICBN,,,E,,Britain and Ireland,,,,,,,,,191,,herbarium specimen of unspecified type,PhysicalObject,Royal Botanic Garden Edinburgh Herbarium,,,,,,,,,,,,,,degrees minutes seconds,E,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.rbge.org.uk/herb/E00431342,https://zenodo.org/record/1484070/files/E00431342.jpg,https://zenodo.org/record/1484070/files/E00431342.tif,https://zenodo.org/record/1484070/files/E00431342.json,,,http://dx.doi.org/10.5281/zenodo.1484070,,
PRESERVED_SPECIMEN,Achyrocline satureioides var. albicans (Griseb.) Baker,VARIETY,BR,http://specimens.kew.org/herbarium/K001107550,K001107550,Achyrocline,satureioides,Brazil,,,,"Smith, D.",albicans,,,,K,,,,,,,K001107550,,,,2015-06-11,328,,,,,,,,,,,,,Plantae,Tracheophyta,Asterales,Asteraceae,Magnoliopsida,Herbarium,,COMPOSITAE,,K,,Guiratinga,Guiratinga,Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://specimens.kew.org/herbarium/K001107550,https://zenodo.org/record/1486644/files/K001107550.jpg,https://zenodo.org/record/1486644/files/K001107550.tif,https://zenodo.org/record/1486644/files/K001107550.json,,,http://dx.doi.org/10.5281/zenodo.1486644,,
PRESERVED_SPECIMEN,Acisanthera inundata (DC.) Triana,SPECIES,BR,http://specimens.kew.org/herbarium/K000530784,K000530784,Noterophila,inundata,Brazil,,,"in pratis [staginovis] inter Oeiras et Caxias, in locis [areno uliquiaris]",,,,,,K,,,,,,,K000530784,,,,2008-05-23,,,,,,,,,,,,,,Plantae,Tracheophyta,Myrtales,Melastomataceae,Magnoliopsida,Herbarium,,MELASTOMATACEAE,,K,With K000530783  Martii iter brasiliense  Herbarium Hookerianum 1867,,,label,,,,,Author citation as on label: Triana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lat,,http://specimens.kew.org/herbarium/K000530784,https://zenodo.org/record/1485875/files/K000530784.jpg,https://zenodo.org/record/1485875/files/K000530784.tif,https://zenodo.org/record/1485875/files/K000530784.json,,,http://dx.doi.org/10.5281/zenodo.1485875,,
PRESERVED_SPECIMEN,Acridocarpus ballyi Launert,SPECIES,KE,43298286-0ea3-4999-abec-7bb712a456e7,BM000574146,Acridocarpus,ballyi,Kenya,1975,1975-06-14,,Peter René Oscar Bally,,0.529861,37.857882,WGS84,BM,,HOLOTYPE,,Charles Cavender (Chuck) Davis,,AFRICA,4671266,6,14,,2017-10-20,16871,"Arid semidesert, on rocky hills and in sandy plain",,,,,NHMUK:ecatalogue:4671266,,,,,,,Plantae,Tracheophyta,Malpighiales,Malpighiaceae,Magnoliopsida,BOT,,Malpighiaceae,,NHMUK,,Africa; Kenya,,,16871,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eng,,http://data.nhm.ac.uk/object/43298286-0ea3-4999-abec-7bb712a456e7,https://zenodo.org/record/1480292/files/BM000574146.jpg,https://zenodo.org/record/1480292/files/BM000574146.tif,https://zenodo.org/record/1480292/files/BM000574146.json,https://zenodo.org/record/1480292/files/BM000574146_all.png,https://zenodo.org/record/1480292/files/BM000574146_sel.png,http://dx.doi.org/10.5281/zenodo.1480292,,
PRESERVED_SPECIMEN,Acrocryphaea plicatula Dixon & Thér.,SPECIES,CD,http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0106857,PC0106857,Schoenobryum,plicatula,"Congo, Democratic Republic of the",1913,1913-11-07,,Bequaert,,,,,P,,TYPE,,,,,http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0106857,11,7,,2015-09-24,,,sur branche morte,,,,,,,,,,,Plantae,Bryophyta,Leucodontales,Cryphaeaceae,Bryopsida,PC,,,,MNHN,,,,,,,,,,,,,hb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fra,,http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0106857,https://zenodo.org/record/1487469/files/PC0106857.jpg,,https://zenodo.org/record/1487469/files/PC0106857.json,,,http://dx.doi.org/10.5281/zenodo.1487469,,
PRESERVED_SPECIMEN,Acrotrema intermedium Thwaites,SPECIES,LK,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00202007,P00202007,Acrotrema,intermedium,Sri Lanka,1854,1854-01-01,,"Thwaites, G.H.K.",,,,,P,,TYPE,,,,,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00202007,,,,2015-10-02,,,,,,,,,,,,,,Plantae,Tracheophyta,Dilleniales,Dilleniaceae,Magnoliopsida,P,,,,MNHN,,,,,3114,,,,,,,,hb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fra,,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00202007,https://zenodo.org/record/1487114/files/P00202007.jpg,,https://zenodo.org/record/1487114/files/P00202007.json,,,http://dx.doi.org/10.5281/zenodo.1487114,,
PRESERVED_SPECIMEN,Actiniopteris pauciloba Pic.Serm.,SPECIES,CD,http://www.botanicalcollections.be/specimen/BR0000013468668,BR0000013468668,Actiniopteris,pauciloba,"Congo, Democratic Republic of the",1981,1981-04-03,Mindigi,Malaisse F.,,-11.1,26.166667,WGS84,BR,,ISOTYPE,,,,,http://www.botanicalcollections.be/specimen/BR0000013468668,4,3,,2013-03-08,11751,,,,,,,,Meise Botanic Garden,,,,,Plantae,Tracheophyta,Polypodiales,Pteridaceae,Polypodiopsida,,ICBN,,,BR,,,,,,,,,,,,,HerbariumSheet,PhysicalObject,,,,,,http://biocol.org/urn:lsid:biocol.org:col:15605,accepted name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fra,,http://www.botanicalcollections.be/specimen/BR0000013468668,https://zenodo.org/record/1483290/files/BR0000013468668.jpg,https://zenodo.org/record/1483290/files/BR0000013468668.tif,https://zenodo.org/record/1483290/files/BR0000013468668.json,,,http://dx.doi.org/10.5281/zenodo.1483290,,
PRESERVED_SPECIMEN,Actinodium cunninghamii Schauer,SPECIES,AU,http://www.botanicalcollections.be/specimen/BR0000013545291,BR0000013545291,Actinodium,cunninghamii,Australia,,,S.L.,Preiss J.A.,,,,,BR,S.D.,,,,,,http://www.botanicalcollections.be/specimen/BR0000013545291,,,,2014-11-27,432,,,,,,,,Meise Botanic Garden,,,,,Plantae,Tracheophyta,Myrtales,Myrtaceae,Magnoliopsida,,ICBN,,,BR,,,,,,,,,,,,,HerbariumSheet,PhysicalObject,,,,,,http://biocol.org/urn:lsid:biocol.org:col:15605,accepted name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,und,ZZ - translingual,http://www.botanicalcollections.be/specimen/BR0000013545291,https://zenodo.org/record/1483312/files/BR0000013545291.jpg,https://zenodo.org/record/1483312/files/BR0000013545291.tif,https://zenodo.org/record/1483312/files/BR0000013545291.json,,,http://dx.doi.org/10.5281/zenodo.1483312,,
